,sample_0,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37
3MOBt2im,,0.0002549999999999999,0.000599,0.00025799999999999993,,9.400000000000032e-05,,,0.0003700000000000007,0.00037100000000000013,0.0,,,0.00019499999999999889,,0.0002350000000000004,0.0,0.0002509999999999995,,0.0003780429824538357,,0.0,0.000149,0.0004659999999999988,0.0,0.0,,,,0.000251,,0.000109,,,0.000279,,,0.000312
3MOBte,0.0,,,,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,,,,0.0,,0.0,,,,,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,
3MOPt2im,,,0.000895,0.00035,0.0008979999999999998,0.000689999999999999,0.0,,0.0012839999999999998,0.001214,0.000778,,,,,,0.00039100000000000007,0.00038,0.000463,,0.000131,,,,6.999999999999987e-05,,,,,0.000251,,,0.000553,0.000136,0.000279,,,
3MOPte,0.0,0.0,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0
3SALAASPm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000620893333461936,0.0,0.0,-0.0027999999999792635,-0.0019615131333239333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3SALACBOXL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3SALAOX,,0.0,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,,,
3SALATAi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015011066665614687,0.001994,0.0,0.0025509999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027195944722784326
3SALATAim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006208933334385322,0.0,0.0,0.0028,0.0019615131333429953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3SPYRSP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015011066665614687,0.001994,0.0,0.0025509999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027195944722784326
